,datetime,ghi,gti,power
0,2017-10-01 00:00:00,0.0,0.0,0.0
1,2017-10-01 00:15:00,0.0,0.0,0.0
2,2017-10-01 00:30:00,0.0,0.0,0.0
3,2017-10-01 00:45:00,0.0,0.0,0.0
4,2017-10-01 01:00:00,0.0,0.0,0.0
5,2017-10-01 01:15:00,0.0,0.0,0.0
6,2017-10-01 01:30:00,0.0,0.0,0.0
7,2017-10-01 01:45:00,0.0,0.0,0.0
8,2017-10-01 02:00:00,0.0,0.0,0.0
9,2017-10-01 02:15:00,0.0,0.0,0.0
10,2017-10-01 02:30:00,0.0,0.0,0.0
11,2017-10-01 02:45:00,0.0,0.0,0.0
12,2017-10-01 03:00:00,0.0,0.0,0.0
13,2017-10-01 03:15:00,0.0,0.0,0.0
14,2017-10-01 03:30:00,0.0,0.0,0.0
15,2017-10-01 03:45:00,0.0,0.0,0.0
16,2017-10-01 04:00:00,0.0,0.0,0.0
17,2017-10-01 04:15:00,0.0,0.0,0.0
18,2017-10-01 04:30:00,0.0,0.0,0.0
19,2017-10-01 04:45:00,0.0,0.0,0.0
20,2017-10-01 05:00:00,0.0,0.0,0.0
21,2017-10-01 05:15:00,0.0,0.0,0.0
22,2017-10-01 05:30:00,0.0,0.0,0.0
23,2017-10-01 05:45:00,0.0,0.0,0.0
24,2017-10-01 06:00:00,,,0.0
25,2017-10-01 06:15:00,,,0.0
26,2017-10-01 06:30:00,,,0.0
27,2017-10-01 06:45:00,,,0.08
28,2017-10-01 07:00:00,,,0.34
29,2017-10-01 07:15:00,,,0.8
30,2017-10-01 07:30:00,,,1.4
31,2017-10-01 07:45:00,,,2.23
32,2017-10-01 08:00:00,,,3.13
33,2017-10-01 08:15:00,,,6.24
34,2017-10-01 08:30:00,,,5.1
35,2017-10-01 08:45:00,,,6.08
36,2017-10-01 09:00:00,,,7.04
37,2017-10-01 09:15:00,,,7.91
38,2017-10-01 09:30:00,,,8.54
39,2017-10-01 09:45:00,,,9.41
40,2017-10-01 10:00:00,,,10.08
41,2017-10-01 10:15:00,,,10.6
42,2017-10-01 10:30:00,,,11.05
43,2017-10-01 10:45:00,,,11.69
44,2017-10-01 11:00:00,,,12.09
45,2017-10-01 11:15:00,,,12.56
46,2017-10-01 11:30:00,,,12.77
